Class;Symbol;System;Side;Variant;OptimizedParams;Combinations;Algorithm;MagicNumber;Status;Path;SHA256
01_Forex;AUDCAD;05_BE_TRAIL;SELL;MULTI;33;646257888460800000000;FAST_GENETIC;648925543;RESEARCH;01_Forex/AUDCAD/05_BE_TRAIL/SELL_MULTI.set;C68F978D121946B8DAAD1D6589FC0BDBBD37A4063F829C8BE63D9031BF6D87F3
01_Forex;AUDCAD;05_BE_TRAIL;SELL;ICHIMOKU;32;14100172111872000000;FAST_GENETIC;677157854;RESEARCH;01_Forex/AUDCAD/05_BE_TRAIL/SELL_ICHIMOKU.set;71BB9F627CD01A48478C99B9D164478869FBA3092C6B104DB20A18DC0A9071B6
01_Forex;AUDCAD;06_REVERSAL_EXIT;BUY;MULTI;36;5170063107686400000000;FAST_GENETIC;687887669;RESEARCH;01_Forex/AUDCAD/06_REVERSAL_EXIT/BUY_MULTI.set;CF4886AC0D24FDFEC889384EE61B1180B44E46A26978DFB23A9F6D022108A583
01_Forex;AUDCAD;06_REVERSAL_EXIT;BUY;ICHIMOKU;35;112801376894976000000;FAST_GENETIC;639556759;RESEARCH;01_Forex/AUDCAD/06_REVERSAL_EXIT/BUY_ICHIMOKU.set;61A9F7E5E43DD69A375A64E39431D4F724E35A43AD2F8D179024CEF321F4DBEF
01_Forex;AUDCAD;06_REVERSAL_EXIT;SELL;MULTI;36;5170063107686400000000;FAST_GENETIC;654874805;RESEARCH;01_Forex/AUDCAD/06_REVERSAL_EXIT/SELL_MULTI.set;4DE69141FD1D053C2BD3F33DBE19B32F4E88A889B253CF58881F00DF5717AF4B
01_Forex;AUDCAD;06_REVERSAL_EXIT;SELL;ICHIMOKU;35;112801376894976000000;FAST_GENETIC;667663794;RESEARCH;01_Forex/AUDCAD/06_REVERSAL_EXIT/SELL_ICHIMOKU.set;6CF5616277085882EC6FA80E77496E84CA0C0F8988D303AA22CA8D0FDF8CAD49
01_Forex;AUDCAD;07_GRID_SEPARATE;BUY;MULTI;36;1961205757378560000000;FAST_GENETIC;679437995;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCAD/07_GRID_SEPARATE/BUY_MULTI.set;D15F3DF84F246324AFD0DB0643272F19B1C9D8C5D760510BE18037BF99FB3FD7
01_Forex;AUDCAD;07_GRID_SEPARATE;BUY;ICHIMOKU;35;42789943797350400000;FAST_GENETIC;640778898;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCAD/07_GRID_SEPARATE/BUY_ICHIMOKU.set;780CE6BCACC82D11331BC256228AD9094A16729AE3D029AF6661534F46057B4F
01_Forex;AUDCAD;07_GRID_SEPARATE;SELL;MULTI;36;1961205757378560000000;FAST_GENETIC;645068313;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCAD/07_GRID_SEPARATE/SELL_MULTI.set;F520C6D2DF8D3FC71A6728687C485176FFC56A93630C22024CF945D6910A642E
01_Forex;AUDCAD;07_GRID_SEPARATE;SELL;ICHIMOKU;35;42789943797350400000;FAST_GENETIC;624084110;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCAD/07_GRID_SEPARATE/SELL_ICHIMOKU.set;08E468817C9D27CB158FB38C7A7725094585972C7D67DDC3EDE99C0EC913B47B
01_Forex;AUDCAD;08_GRID_UNIFIED;BOTH;MULTI;38;7844823029514240000000;FAST_GENETIC;646171051;HEDGE_ACCOUNT_REQUIRED;01_Forex/AUDCAD/08_GRID_UNIFIED/BOTH_MULTI.set;4A38637539542AC7912D867E2B51D7646AEF80C5377261E470F6E985A1DFE3B7
